1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,stress_score,anxiety_score,depression_score
1.01967,0.975333,0.953167,0.96425,0.947625,1.00581,0.924073,0.842333,0.820167,0.798,0.953167,1.29675,1.26904,1.18869,1.01551,0.842333,1.2635,1.23025,1.52396,1.40481,1.38957,1.09379,0.798,0.820167,0.842333,0.842333,1.10833,0.975333,0.842333,1.064,1.08617,1.05292,1.56829,1.38265,1.55582,1.39858,1.36429,1.21414,1.16124,1.57812,1.49839,1.1482,0.798,0.953167,1.05292,0.991958,1.09448,1.56691,1.35979,1.10106,0.842333,0.842333,1.3965,1.31892,1.47962,1.51565,1.44499,1.45399,1.23683,1.08392,1.11829,1.60098,1.39899,1.60833,1.35833,1.29983,1.11542,1.15621,1.08794,1.00947,1.14757,1.52695,1.27331,1.63415,1.41558,1.12896,0.842333,1.01967,1.33,1.2635,1.62925,1.34662,1.31615,1.12357,1.20462,1.28948,1.04374,0.798,1.3965,1.27458,1.28012,1.1499,1.12911,1.09656,0.969445,0.842333,0.820167,0.798,0.9975,1.23025,1.01412,0.798,0.8645,0.919917,0.969792,1.17206,0.985031,0.798,0.931,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,1.14753,6,2,0
1.10833,1.15267,1.24133,1.1305,1.16375,0.980875,0.798,0.9975,0.89775,0.798,1.2635,1.49625,1.34662,1.22748,1.10141,0.97187,0.842333,0.886667,1.08617,1.03075,1.02521,1.6431,1.39789,1.36394,1.1253,0.886667,0.886667,1.28567,1.37433,1.463,1.35217,1.23025,1.12496,1.00581,0.886667,0.9975,1.18592,1.45746,1.37156,1.17345,1.09656,1.19111,1.08322,1.09578,0.969056,0.842333,1.01967,1.15267,1.44083,1.45192,1.50179,1.39373,1.11803,0.842333,1.064,1.08617,1.07508,1.22471,1.10002,1.08201,1.44984,1.36775,1.54838,1.39485,1.34026,1.13563,1.09982,1.34791,1.11729,0.886667,1.08617,1.00858,1.12496,1.20531,1.02382,0.842333,1.08617,1.31892,1.34662,1.13881,1.12357,1.27112,1.18973,1.19336,1.28385,1.08526,0.886667,1.35217,1.31892,1.52396,1.40481,1.34524,1.16029,1.17864,1.23215,1.21458,1.13929,1.25681,1.18257,1.18979,1.63673,1.41686,1.35126,1.5623,1.86732,2.17233,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,1.19811,0,0,1
1.01967,1.01967,1.463,1.28567,1.55167,1.33,1.61817,1.31892,1.14712,1.03906,1.0072,1.4346,1.2493,1.04582,0.842333,0.931,1.37433,1.24133,1.48517,1.29675,1.20254,1.00027,0.798,1.30783,1.16375,1.40204,1.25519,1.24826,1.28913,1.26523,1.31978,1.30272,1.2277,1.25668,1.18251,1.25625,1.24879,1.33373,1.2432,1.2866,1.21963,1.34132,1.24699,1.46583,1.26491,1.45262,1.28048,1.50474,1.30654,1.25177,1.29088,1.19961,1.37564,1.46365,1.33033,1.48533,1.29683,1.29125,1.33279,1.24273,1.3307,1.28602,1.28584,1.50742,1.30788,1.47411,1.26905,1.36603,1.25935,1.25034,1.24584,1.24358,1.26463,1.47465,1.24716,1.48808,1.25387,1.4471,1.23338,1.19303,1.32801,1.46201,1.263,1.40733,1.30217,1.31608,1.32304,1.48169,1.25068,1.44551,1.27692,1.45863,1.28348,1.30674,1.31837,1.32418,1.30493,1.2953,1.33481,1.22157,1.10833,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,1.28887,4,4,0
1.463,1.463,1.35217,1.34108,1.31337,1.43252,1.31476,1.41105,1.39269,1.62735,1.34567,1.5595,1.40042,1.43171,1.35869,1.32218,1.30392,1.38346,1.3124,1.3877,1.24802,1.39984,1.25409,1.35854,1.29994,1.33714,1.26707,1.36503,1.28102,1.32768,1.30667,1.407,1.34633,1.47117,1.28975,1.30988,1.31994,1.3693,1.32748,1.12924,0.985788,0.842333,1.3965,1.23025,1.50179,1.39373,1.38403,1.35702,1.27701,1.28134,1.2835,1.24025,1.32946,1.26323,1.31878,1.25789,1.27178,1.21222,1.24894,1.22297,1.03265,0.842333,0.798,0.798,0.798,0.908833,0.853417,0.798,0.9975,1.40758,1.23579,1.0834,0.940698,0.798,1.17483,1.27458,1.05846,0.842333,0.886667,1.17483,1.23025,1.39096,1.29398,1.42282,1.39858,1.58596,1.36931,1.41616,1.32874,1.32937,1.28535,1.32984,1.28559,1.46296,1.32998,1.52949,1.34108,1.60154,1.3771,1.46438,1.28636,1.10833,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,1.26963,4,2,5
1.01967,1.35217,1.25242,1.37987,1.28844,1.30922,1.27528,1.23614,1.2609,1.22895,1.25731,1.38232,1.24533,1.04383,0.842333,0.886667,1.35217,1.25242,1.33554,1.33277,1.42005,1.26419,1.0311,0.798,0.842333,1.28567,1.21917,1.00858,0.798,0.798,0.9975,1.16375,1.26904,1.27735,1.45884,1.26142,1.05188,0.842333,0.886667,1.21917,1.11942,1.29121,1.1776,1.3203,1.25865,1.36083,1.34541,1.13821,0.99027,0.842333,1.15267,1.21917,1.25242,1.26904,1.29952,1.33693,1.08963,0.842333,0.798,1.21917,1.20808,1.26904,1.27735,1.28151,1.21709,1.09621,1.01361,1.06097,0.929485,0.798,0.975333,0.908833,0.842333,0.798,1.10833,1.17483,1.27458,1.28012,1.2829,1.23995,1.28497,1.21882,1.27441,1.28004,1.46019,1.30643,1.07438,0.842333,0.975333,1.15267,1.30783,1.47408,1.26904,1.47685,1.31476,1.63271,1.34836,1.09535,0.842333,0.953167,1.20808,1.22471,1.21085,1.33693,1.4443,1.32065,1.43616,1.55167,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,1.17689,10,11,8
0.931,0.9975,1.00858,1.16929,1.20531,1.37849,1.26558,1.27562,1.12548,1.20557,1.06829,0.999643,1.09832,1.08116,0.961747,0.842333,1.08617,1.25242,1.20254,1.1111,1.10972,1.15336,1.08651,1.09742,1.10288,1.08344,1.07372,1.04669,1.09968,1.17051,1.07292,1.06846,0.99973,1.16486,1.2031,1.06705,0.976858,0.886667,1.10833,1.064,1.24133,1.10833,1.197,1.2635,1.23025,1.01412,0.798,0.820167,0.842333,0.842333,1.04183,1.11942,1.55721,1.35494,1.23164,1.12565,1.11699,1.157,1.06616,1.10942,0.998041,0.886667,1.04183,0.919917,0.798,0.9975,1.58492,1.39096,1.42698,1.13466,0.842333,0.842333,0.842333,1.01967,1.44083,1.36325,1.78996,1.44915,1.16791,0.886667,1.064,0.9975,1.11942,1.13604,1.69852,1.44776,1.74355,1.47027,1.51097,1.35399,1.45283,1.34708,1.44937,1.34535,1.42634,1.31167,1.38734,1.31433,1.699,1.47017,1.55525,1.28746,1.2644,1.58536,1.41335,1.48251,1.55167,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,1.18551,10,4,3
1.33,1.21917,1.20808,1.09171,1.14435,1.08201,1.13951,1.07959,1.18263,1.16765,1.18232,1.18966,1.17116,1.27275,1.23487,1.21594,1.33947,1.13523,1.14395,1.25914,1.18374,1.25687,1.29343,1.28955,1.30978,1.29772,1.38036,1.24435,1.35367,1.12017,0.886667,1.04183,1.25242,1.04737,0.842333,1.197,1.28567,1.197,1.1305,1.20808,1.24687,1.1776,1.09864,1.14782,1.23891,1.12929,1.09664,1.25766,1.20516,1.28975,1.24337,1.30885,1.29726,1.29146,1.28857,1.35362,1.51914,1.2029,0.886667,0.953167,1.14158,1.01412,0.886667,1.01967,1.04183,1.09725,1.10279,1.19423,1.12911,1.03006,1.0692,1.04443,1.18722,1.12561,1.0948,1.23457,1.17145,1.29506,1.15736,1.26585,1.18709,1.08121,1.13911,1.07939,1.11603,1.15651,1.13242,1.25338,1.22519,1.25543,1.24838,1.28919,1.26526,1.36413,1.36923,1.28312,1.21789,1.25178,1.22439,1.16636,1.13735,1.07851,1.07125,1.08979,1.09906,1.08153,1.1171,1.20138,1.13269,1.064,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,1.17747,0,2,0
0.886667,0.842333,1.33,1.24133,1.33,1.2635,1.36325,1.25796,1.05015,0.842333,0.842333,1.30783,1.16375,1.00304,0.842333,0.975333,1.1305,1.25242,1.09171,1.23302,1.19284,1.23926,1.26246,1.1854,1.23553,1.30493,1.20663,1.20182,1.24374,1.1982,1.15327,1.2638,1.3634,1.39103,1.24968,1.26768,1.27667,1.08167,0.886667,0.842333,1.15267,1.064,1.197,1.21917,1.05292,0.886667,1.04183,1.45192,1.45746,1.32723,1.43945,1.31822,1.32411,1.17189,1.22878,1.32372,1.37119,1.26193,1.2738,1.0359,0.798,1.35217,1.23025,1.03629,0.842333,0.886667,1.064,1.04183,1.14158,1.70129,1.49348,1.63341,1.39304,1.45018,1.32359,1.57063,1.38381,1.46774,1.42104,1.10952,0.798,1.04183,1.00858,1.05846,1.03906,1.18453,1.2351,1.30472,1.20652,1.22393,1.16613,1.18157,1.14495,1.32614,1.3059,1.65045,1.37939,1.2882,1.5086,1.3528,1.29707,1.29137,1.33285,1.35359,1.37433,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,1.2123,4,1,3
1.55167,1.17483,0.798,0.975333,1.08617,1.09725,0.947625,0.798,0.886667,0.842333,1.04183,1.11942,1.13604,1.12219,0.960094,0.798,1.08617,1.07508,1.04737,1.21085,1.18176,1.14505,1.23752,1.08426,1.1628,1.13557,1.07762,1.07081,1.1339,1.09895,1.05931,1.26115,1.11824,1.17979,1.29923,1.09295,0.886667,0.975333,1.1305,1.20808,1.18037,1.32169,1.28151,1.28359,1.24029,1.17431,1.29649,1.06941,0.842333,0.798,0.798,0.798,1.064,0.931,0.798,0.886667,0.842333,1.04183,0.942083,0.842333,1.15267,1.35217,1.42975,1.31337,1.12219,1.15959,1.15613,0.977065,0.798,0.931,1.197,1.50733,1.3965,1.14158,0.886667,1.064,1.064,1.1305,1.20808,1.15821,1.13327,0.965635,0.798,0.798,0.931,1.17483,1.31892,1.34662,1.40481,1.21224,1.02729,0.842333,0.975333,0.931,0.886667,1.08617,1.27458,1.21362,1.27181,1.21224,1.27112,1.05673,0.842333,0.975333,1.1305,1.05292,1.01412,1.26073,1.18453,1.32377,1.26038,1.20652,1.06876,0.977715,0.886667,0.798,1.08609,1.08609,1.08609,1.08609,1.08609,1.08609,1.08609,1.08609,1.08609,1.08609,1.08609,1.08609,1.08609,1.08609,1.08609,1.08609,1.08609,4,3,1
1.01967,1.1305,1.18592,1.41312,1.26073,1.02936,0.798,0.842333,0.975333,0.931,0.886667,0.975333,0.886667,0.798,0.9975,0.919917,0.842333,1.2635,1.29675,1.53504,1.38819,1.58076,1.38888,1.62544,1.45555,1.61444,1.42789,1.53411,1.36556,1.56944,1.38322,1.66694,1.43197,1.62482,1.45524,1.70295,1.44998,1.61166,1.44866,1.52233,1.35967,1.34483,1.35958,1.34479,1.3374,1.42236,1.33185,1.50826,1.39696,1.49648,1.43541,1.47137,1.35635,1.36534,1.3255,1.43859,1.31779,1.5234,1.40453,1.65543,1.42622,1.71061,1.47597,1.64682,1.46624,1.44245,1.45273,1.45786,1.43827,1.4728,1.42357,1.42112,1.39772,1.3417,1.33585,1.37726,1.3758,1.44156,1.38578,1.49089,1.43261,1.55864,1.46649,1.48691,1.43062,1.42464,1.39949,1.40908,1.43604,1.51602,1.44518,1.47625,1.46963,1.463,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,1.3705,2,3,0
