1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,stress_score,anxiety_score,depression_score
1.37433,1.197,1.41867,1.35217,1.56275,1.35771,1.72069,1.43668,1.16167,0.886667,1.08617,0.96425,0.842333,0.975333,1.5295,1.40758,1.19146,1.0834,1.11803,0.980182,0.842333,0.842333,1.1305,0.96425,0.798,0.908833,0.89775,0.886667,0.8645,0.842333,0.953167,1.09725,0.947625,0.798,1.463,1.28567,1.08617,0.886667,0.798,0.886667,0.886667,0.886667,1.48517,1.31892,1.19146,0.994729,0.798,1.10833,0.975333,0.842333,0.842333,0.842333,0.9975,1.20808,1.00304,0.798,1.3965,1.31892,1.63479,1.37156,1.37295,1.15197,1.13015,1.47391,1.33546,1.68739,1.4422,1.7186,1.41347,1.57123,1.36195,1.81147,1.48207,1.7607,1.45668,1.63718,1.41709,1.48438,1.14119,0.798,1.41867,1.28567,1.596,1.41867,1.463,1.1305,0.798,1.3965,1.27458,1.05846,0.842333,0.9975,1.20808,1.00304,0.798,1.2635,1.25242,1.15821,1.06677,1.17622,1.65211,1.35805,1.38836,1.41867,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,1.19037,6,2,0
1.24133,1.30783,1.56275,1.51287,1.2441,1.19839,1.33069,1.19735,1.17501,1.20817,1.04742,0.886667,1.21917,1.36325,1.12496,0.886667,1.064,1.30783,1.05292,0.798,1.064,1.01967,1.064,1.33,1.41867,1.41867,1.10833,0.798,1.08617,0.96425,0.842333,0.820167,0.798,1.01967,1.55167,1.35217,1.38542,1.13604,0.886667,1.1305,1.09725,1.12496,1.55998,1.40066,1.18799,1.23683,1.15042,1.32887,1.10777,0.886667,1.10833,1.08617,1.11942,1.62371,1.36602,1.48101,1.49417,1.14609,0.798,1.10833,1.24133,1.01967,0.798,0.842333,0.886667,0.886667,1.3965,1.31892,1.32446,1.46023,1.57245,1.56206,1.5347,1.16635,0.798,0.953167,1.09725,1.16929,0.983646,0.798,0.798,1.064,1.35217,1.07508,0.798,1.01967,1.50733,1.37433,1.3965,1.09725,0.798,1.01967,0.931,0.842333,0.842333,0.842333,1.01967,1.17483,1.36325,1.52396,1.40481,1.16791,1.16029,1.11214,1.28757,1.04279,0.798,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,1.14915,0,0,1
1.55167,1.596,1.197,0.798,0.975333,1.24133,1.1305,1.16375,1.24687,1.2441,1.22055,1.38611,1.13639,0.886667,1.17483,0.986417,0.798,1.08617,1.07508,1.11387,1.13327,1.20947,1.20323,1.33312,1.10989,0.886667,0.886667,0.886667,1.01967,1.596,1.35217,1.23025,1.12496,1.16098,1.17899,1.14366,1.126,1.51617,1.31225,1.45412,1.39206,1.53836,1.32335,1.19367,1.2175,1.07425,1.17996,1.12198,1.18166,1.18933,1.21533,1.2505,1.13508,1.29904,1.20369,1.39984,1.23192,1.14796,1.26115,1.05174,0.842333,1.28567,1.197,1.463,1.2635,1.47408,1.29121,1.22194,1.3203,1.45815,1.32758,1.55045,1.35156,1.14128,1.08047,1.11657,1.02379,1.04389,1.16478,1.04789,0.967278,0.886667,1.24133,1.463,1.44083,1.16375,0.886667,1.15267,1.1305,1.16375,1.31337,1.21085,1.20393,1.33346,1.2209,1.20895,1.33597,1.11132,0.886667,1.10833,1.10833,1.17483,1.29675,1.15821,1.19977,1.04322,0.886667,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,1.19107,4,4,0
1.37433,1.35217,1.29675,1.37987,1.35494,1.56414,1.4249,1.70995,1.43131,1.46932,1.46616,1.46458,1.44162,1.51881,1.44657,1.49912,1.45889,1.46095,1.43981,1.4514,1.43503,1.67068,1.45601,1.659,1.428,1.68933,1.44317,1.47525,1.44696,1.43281,1.40357,1.45545,1.43706,1.58303,1.47868,1.69251,1.46692,1.57579,1.43073,1.46903,1.46602,1.59751,1.44159,1.69613,1.44656,1.45478,1.52539,1.4942,1.43426,1.4708,1.44473,1.52037,1.46952,1.51059,1.46463,1.48598,1.51882,1.46875,1.46587,1.37577,1.39722,1.36361,1.3468,1.4049,1.36745,1.39306,1.36153,1.34576,1.31572,1.32286,1.30426,1.38363,1.40115,1.47641,1.42537,1.42202,1.37601,1.39734,1.3415,1.40225,1.36613,1.50323,1.41661,1.61714,1.47357,1.46829,1.50998,1.53082,1.47474,1.41867,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,1.45794,4,2,5
1.50733,1.48517,1.45192,1.45746,1.30506,1.2732,1.39027,1.6483,1.28965,1.15466,1.57483,1.29725,1.60179,1.5989,1.48661,1.45264,1.52432,1.67099,1.434,1.67017,1.38925,1.31529,1.38915,1.33741,1.37804,1.35402,1.34201,1.11434,0.886667,0.798,1.17483,1.16375,1.22471,1.25519,1.31476,1.32238,1.10452,0.886667,0.798,1.197,1.2635,1.42975,1.29121,1.3771,1.35355,1.43044,1.38022,1.53244,1.34256,1.46928,1.33314,1.39807,1.29753,1.26943,1.34405,1.38136,1.31135,1.05467,0.798,0.886667,1.28567,1.2635,1.29675,1.33554,1.28844,1.33139,1.33069,1.30818,1.40776,1.30238,1.05019,0.798,0.798,1.10833,1.21917,1.27458,1.25796,1.22748,1.27874,1.26004,1.31718,1.32359,1.28246,1.41706,1.3292,1.30743,1.27438,1.25786,1.27176,1.38955,1.27111,1.36705,1.21553,1.3171,1.23488,1.19377,1.21755,1.16294,1.15781,1.13307,1.10833,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,1.28651,10,11,8
1.15267,0.798,0.975333,1.2635,1.25242,1.33554,1.28844,1.68605,1.46369,1.17518,0.886667,1.04183,1.58492,1.41312,1.6819,1.43945,1.56206,1.42386,1.57643,1.40888,1.61327,1.4273,1.73332,1.48733,1.60816,1.42475,1.55471,1.39802,1.58568,1.39134,1.671,1.434,1.7145,1.45575,1.65888,1.4501,1.12405,0.798,0.975333,1.21917,1.14158,1.19146,1.3494,1.11803,0.886667,1.10833,0.953167,0.798,1.24133,1.2635,1.56275,1.35771,1.12219,0.886667,1.064,1.463,1.35217,1.09725,0.842333,1.04183,1.36325,1.28012,1.4159,1.32861,1.70614,1.47374,1.4462,1.16643,0.886667,1.55167,1.41867,1.6625,1.40758,1.70129,1.47131,1.44499,1.16583,0.886667,1.15267,1.04183,1.16375,1.29121,1.13327,1.16514,1.6909,1.42178,1.77489,1.48595,1.45231,1.16949,0.886667,1.197,0.9975,0.798,1.17483,1.55167,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,10,4,3
0.975333,0.931,0.886667,0.9975,1.03075,1.04737,1.05569,0.993344,1.07301,1.17934,1.14383,1.19258,1.17263,1.09615,1.19091,1.12745,1.18439,1.07986,1.0941,1.12338,1.11586,1.13426,1.16563,1.20348,1.11157,1.17645,1.16456,1.15861,1.13347,1.14307,1.14787,1.1281,1.14038,1.16869,1.13851,1.14559,1.12696,1.16198,1.15732,1.2215,1.20925,1.15879,1.1779,1.16528,1.18114,1.18907,1.19304,1.23935,1.19601,1.28517,1.21892,1.20796,1.24681,1.24407,1.22054,1.1866,1.1918,1.21657,1.14028,1.16864,1.16065,1.22316,1.16575,1.20354,1.22244,1.20972,1.22553,1.21126,1.20413,1.1784,1.16553,1.13693,1.1448,1.1709,1.13962,1.19047,1.12724,1.16212,1.15739,1.19936,1.15385,1.17542,1.16405,1.18052,1.12226,1.1153,1.13398,1.16549,1.15908,1.17804,1.14319,1.19226,1.19463,1.26231,1.20749,1.24658,1.22179,1.23156,1.16995,1.20564,1.15699,1.15483,1.15375,1.17537,1.14185,1.16943,1.18321,1.21227,1.20464,1.22299,1.20999,1.2035,1.197,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,1.16163,0,2,0
1.596,1.55167,1.3965,1.71792,1.47962,1.51565,1.20116,0.886667,1.1305,1.14158,1.14712,1.6154,1.3397,1.46785,1.35459,1.36446,1.3029,1.05045,0.798,0.798,1.01967,1.08617,1.14158,1.28012,1.17206,1.18453,1.27943,1.21605,1.18436,1.30151,1.47092,1.48913,1.36523,1.43628,1.33881,1.64474,1.42087,1.41977,1.33055,1.26378,1.36339,1.14719,1.19426,1.2178,1.05223,0.886667,1.33,1.28567,1.35217,1.07508,0.798,1.1305,1.25242,1.22471,1.27735,1.30368,1.25034,1.02417,0.798,0.886667,0.798,0.798,0.798,1.04183,1.27458,1.28012,1.59323,1.39511,1.87239,1.51253,1.48776,1.23155,1.23644,1.54922,1.39528,1.45131,1.34632,1.62633,1.3895,1.40408,1.10104,0.798,1.50733,1.35217,1.56275,1.42421,1.75394,1.47547,1.4914,1.1447,0.798,1.44083,1.34108,1.42421,1.42144,1.44222,1.31961,1.3913,1.463,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,1.28168,4,1,3
0.798,0.908833,0.853417,0.798,0.798,0.931,1.24133,1.197,1.10833,0.9975,0.886667,0.975333,1.28567,1.197,1.21917,1.09725,1.03629,1.09448,1.36741,1.2822,1.15093,1.0188,0.886667,0.953167,1.20808,1.22471,1.27735,1.39234,1.42767,1.4675,1.44308,1.43088,1.38044,1.20005,1.06553,1.1756,1.16413,1.06973,1.15553,1.13193,1.05363,1.14748,1.41607,1.3287,1.06335,0.798,1.01967,0.931,0.842333,0.886667,1.08617,0.986417,0.886667,1.15267,1.35217,1.38542,1.09171,0.798,0.931,0.953167,1.03075,1.00304,1.03352,1.04876,1.18938,1.45919,1.30593,1.2293,1.19098,1.21616,1.00708,0.798,0.9975,1.11942,1.00304,0.886667,1.064,1.2635,1.38542,1.35771,1.07785,0.798,1.01967,1.10833,1.1305,1.42975,1.31337,1.14435,1.12634,1.18384,1.34559,1.33779,1.5334,1.38736,1.09268,0.798,0.798,1.01967,1.064,1.10833,1.30783,1.42975,1.26904,1.03352,0.798,1.10833,1.24133,1.197,1.55167,1.33,1.064,0.798,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,1.12448,4,3,1
1.33,1.33,1.33,1.3965,1.40758,1.43529,1.47131,1.44499,1.47616,1.42525,1.46629,1.39815,1.40841,1.3692,1.32743,1.30655,1.25178,1.26872,1.29936,1.38118,1.35559,1.4093,1.52481,1.51607,1.48954,1.4541,1.45855,1.39428,1.40647,1.3904,1.44887,1.45593,1.41513,1.4169,1.48428,1.42931,1.42399,1.37699,1.3535,1.38608,1.40237,1.45485,1.45893,1.46096,1.52848,1.47357,1.55695,1.48781,1.60841,1.49137,1.67668,1.54768,1.63834,1.50634,1.662,1.51817,1.51275,1.42138,1.39785,1.34176,1.38021,1.42161,1.4423,1.47482,1.49108,1.4992,1.52544,1.62722,1.52294,1.7368,1.48907,1.47603,1.51385,1.44409,1.58655,1.48044,1.56039,1.48953,1.49843,1.45855,1.46077,1.39539,1.38486,1.33526,1.31047,1.2759,1.25862,1.22781,1.16807,1.22687,1.1011,0.975333,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,1.42935,2,3,0
