1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,stress_score,anxiety_score,depression_score
0.886667,0.953167,1.16375,1.04737,0.944854,0.842333,0.931,1.28567,1.064,0.842333,0.953167,0.875583,0.798,0.842333,1.197,1.197,1.33,1.15267,1.01967,0.886667,0.975333,1.064,0.931,0.798,0.931,0.8645,0.798,0.8645,1.11942,1.13604,1.12219,1.00443,0.886667,0.886667,0.886667,0.9975,1.18592,1.16929,1.09448,1.25657,1.13812,1.14539,1.0382,1.0511,1.03538,1.22702,1.14551,1.12692,1.20629,1.04648,0.886667,0.886667,0.886667,1.01967,0.931,0.842333,1.04183,1.42975,1.40204,1.36602,1.10418,0.842333,0.908833,0.853417,0.798,1.064,1.44083,1.78442,1.51287,1.39927,1.09864,0.798,1.01967,0.953167,0.886667,1.21917,1.09725,1.12496,0.983646,0.842333,0.953167,1.45192,1.34662,1.42698,1.20116,1.17691,1.63029,1.41364,1.74866,1.45066,1.45683,1.19392,1.21762,1.07431,0.958323,0.842333,0.9975,1.00858,1.01412,1.26073,1.05153,0.842333,1.04183,0.96425,0.886667,0.886667,0.886667,0.798,0.931,0.975333,1.1305,1.36325,1.596,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,1.07919,6,2,0
0.931,1.1305,1.23025,1.01412,0.798,1.33,1.197,1.17483,1.00858,0.842333,0.953167,0.986417,1.02521,1.22194,1.27597,1.19215,1.21674,1.20687,1.20194,1.13297,1.27582,1.36941,1.3497,1.33985,1.40143,1.34355,1.46977,1.31122,1.23194,1.3918,1.2279,1.43412,1.29339,1.42253,1.33193,1.39747,1.1199,0.842333,0.886667,0.798,1.01967,1.15267,1.15267,1.10833,1.37433,1.08617,0.798,1.30783,1.29675,1.37987,1.4436,1.36464,1.36948,1.21674,1.22904,1.10219,1.17176,1.31738,1.14636,1.12734,1.25084,1.26825,1.23263,1.36998,1.37216,1.28458,1.50679,1.21889,1.20795,1.04731,0.886667,0.798,1.10833,1.197,1.15267,1.33,1.197,1.197,1.15267,1.30783,1.25242,1.53504,1.54335,1.19284,0.842333,0.798,1.24133,1.48517,1.42975,1.33554,1.2441,1.37572,1.35286,1.25276,1.11405,0.956024,0.798,0.798,1.10833,1.2635,1.27458,1.39096,1.44915,1.36741,1.1492,0.931,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,1.1985,0,0,1
0.798,0.9975,0.89775,0.798,1.3965,1.31892,1.28012,1.03906,0.798,1.37433,1.21917,1.20808,1.00304,0.798,1.01967,0.908833,0.798,1.3965,1.23025,1.54612,1.3494,1.62786,1.3681,1.68155,1.41711,1.66172,1.42936,1.31318,1.05559,0.798,1.08617,1.20808,1.40204,1.32169,1.43668,1.33901,1.37884,1.37658,1.41979,1.33056,1.35245,1.29689,1.31345,1.32172,1.39236,1.31685,1.32342,1.32671,1.41702,1.39568,1.58451,1.36859,1.08329,0.798,0.9975,1.42975,1.29121,1.35494,1.36464,1.61332,1.38299,1.60033,1.39866,1.586,1.41367,1.4605,1.43958,1.40696,1.43498,1.58199,1.38949,1.40408,1.34487,1.3596,1.30047,1.44823,1.32262,1.45931,1.35032,1.47316,1.33508,1.06654,0.798,0.953167,1.47408,1.31337,1.52119,1.33693,1.28913,1.04357,0.798,1.44083,1.29675,1.31337,1.05569,0.798,1.1305,1.27458,1.41867,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,1.27661,4,4,0
1.28567,1.24133,1.28567,1.21917,1.36325,1.34662,1.53781,1.38957,1.44845,1.38923,1.47045,1.37806,1.59786,1.39743,1.67405,1.43552,1.64876,1.40071,1.45402,1.39201,1.42751,1.37875,1.48738,1.40869,1.45801,1.39401,1.4285,1.40142,1.43221,1.3811,1.53289,1.32061,1.36964,1.34982,1.29558,1.29062,1.31031,1.32016,1.45808,1.37187,1.41744,1.37372,1.37403,1.35201,1.42967,1.35767,1.5655,1.40342,1.45538,1.41485,1.39459,1.38446,1.42373,1.39903,1.54185,1.41376,1.59355,1.43961,1.62864,1.43498,1.44899,1.3895,1.40408,1.36704,1.45935,1.39468,1.53967,1.43484,1.51542,1.42271,1.42069,1.35318,1.43026,1.38013,1.44373,1.40903,1.50252,1.41626,1.41746,1.37373,1.3297,1.35202,1.40751,1.36875,1.39371,1.42836,1.42351,1.37676,1.35338,1.31952,1.32476,1.30521,1.29544,1.28567,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,1.40913,4,2,5
1.463,1.37433,1.35217,1.38542,1.31337,1.52119,1.31476,1.47755,1.31511,1.47772,1.29303,1.06768,0.842333,1.01967,0.931,0.842333,1.04183,1.25242,1.24687,1.33277,1.24272,1.37503,1.24168,1.41884,1.33009,1.46304,1.28569,1.35218,1.29676,1.04738,0.798,0.953167,1.40758,1.28012,1.3494,1.3397,1.06885,0.798,0.931,0.953167,1.00858,1.03629,0.917146,0.798,0.953167,0.96425,0.969792,1.06123,1.19561,1.28497,1.26315,1.29658,1.04729,0.798,0.798,0.820167,0.842333,0.975333,1.3965,1.31892,1.05846,0.798,0.886667,1.33,1.197,1.463,1.33,1.33,1.50733,1.48517,1.38542,1.35771,1.27735,1.34801,1.27251,1.41209,1.32671,1.48352,1.31809,1.36838,1.32702,1.55018,1.32926,1.13013,1.0749,1.09162,1.54331,1.34799,1.38333,1.31233,1.3655,1.30342,1.38321,1.33444,1.57605,1.32003,1.65751,1.40509,1.10154,0.798,0.953167,1.14158,1.23579,1.1499,1.01828,0.886667,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,1.20941,10,11,8
1.15267,0.798,0.9975,0.96425,1.05846,1.1499,1.66111,1.45122,1.72311,1.46006,1.63886,1.41793,1.13013,0.842333,1.01967,1.48517,1.34108,1.11387,0.886667,1.064,1.37433,1.30783,1.49625,1.34662,1.51565,1.35632,1.12149,0.886667,1.04183,0.96425,0.886667,1.01967,1.33,1.28567,1.37433,1.30783,1.49625,1.32446,1.7484,1.4727,1.20185,1.15509,1.17605,1.54119,1.36909,1.70421,1.40627,1.16864,1.16065,1.17883,1.65341,1.40304,1.14485,0.886667,1.064,1.37433,1.28567,1.5295,1.38542,1.53504,1.41035,1.76918,1.50526,1.15163,0.798,1.01967,1.463,1.33,1.08617,0.842333,1.01967,1.48517,1.36325,1.12496,0.886667,1.01967,1.50733,1.33,1.55167,1.37433,1.44083,1.31892,1.47962,1.36048,1.12357,0.886667,1.064,1.50733,1.37433,1.44083,1.31892,1.41312,1.32723,1.06261,0.798,0.798,1.35217,1.27458,1.08062,0.886667,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,1.25684,10,4,3
1.10833,1.17483,1.18592,1.16929,1.20531,1.17899,1.18799,1.17033,1.228,1.2125,1.27125,1.21196,1.29315,1.28941,1.26537,1.34202,1.31384,1.29975,1.31488,1.25594,1.3373,1.26715,1.25424,1.31429,1.34431,1.27066,1.27816,1.23758,1.28379,1.26256,1.27411,1.23556,1.26061,1.27314,1.3459,1.27145,1.27856,1.32645,1.30606,1.25153,1.24643,1.22172,1.27586,1.21426,1.20563,1.22348,1.29891,1.24795,1.33331,1.26516,1.29758,1.24729,1.28864,1.24282,1.26424,1.16412,1.24706,1.13336,1.18735,1.19217,1.26109,1.22904,1.25736,1.18284,1.18992,1.19346,1.19523,1.12962,1.11897,1.06932,1.00016,1.00991,1.01479,0.972895,1.08495,1.09664,1.16899,1.13866,1.07916,1.09375,1.03454,1.07144,1.06772,0.999359,0.920846,0.842333,0.886667,0.975333,0.953167,0.986417,0.936542,0.886667,0.886667,0.886667,0.8645,0.842333,0.8645,0.886667,0.8645,0.842333,0.820167,0.798,1.197,1.04183,0.886667,0.975333,0.975333,0.975333,0.953167,1.03075,0.980875,0.933771,0.886667,0.886667,0.886667,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,1.1336,0,2,0
0.798,0.798,1.064,0.931,0.798,1.15267,1.01967,0.886667,0.842333,0.798,0.931,0.8645,0.798,0.798,1.3965,1.36325,1.43529,1.27181,1.65557,1.38195,1.59981,1.37624,1.46395,1.41914,1.3524,1.0752,0.798,1.1305,1.11942,1.04737,1.25519,1.35909,1.52188,1.24861,1.37797,1.30965,1.31983,1.34708,1.27204,1.36752,1.39309,1.36155,1.16844,1.09405,1.12336,1.31535,1.32267,1.548,1.35033,1.67267,1.43483,1.75925,1.47813,1.5814,1.41136,1.50368,1.52767,1.318,1.2575,1.29375,1.31188,1.1436,1.1038,1.46073,1.3067,1.36268,1.27984,1.48225,1.36179,1.16856,1.11628,1.20097,1.44282,1.31991,1.56879,1.40506,1.41186,1.23793,1.21747,1.4289,1.11345,0.798,1.33,1.33,1.6625,1.49625,1.85646,1.5489,1.19561,0.842333,0.975333,1.2635,1.23025,1.54612,1.39373,1.45053,1.14643,0.842333,1.17483,1.50733,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,1.26696,4,1,3
1.24133,1.37433,1.44083,1.31892,1.28012,1.2829,1.50595,1.30714,1.27424,1.08045,0.886667,1.197,1.28567,1.30783,1.40758,1.32446,1.0834,0.842333,0.975333,1.01967,0.9975,0.942083,0.886667,1.15267,1.1305,1.09725,1.03629,1.05015,1.16791,1.02729,0.886667,0.798,0.842333,0.886667,1.15267,1.01967,0.886667,1.21917,1.31892,1.34662,1.29398,1.22332,1.45399,1.30333,1.11717,1.09058,1.12162,1.00415,0.886667,0.8645,0.842333,0.975333,1.1305,0.96425,0.798,0.9975,0.919917,0.842333,0.798,0.886667,1.2635,1.23025,1.14712,1.37156,1.26211,1.25172,1.24653,1.15526,1.17613,1.34173,1.33587,1.3551,1.34255,1.42494,1.2888,1.08774,0.886667,1.10833,1.30783,1.27458,1.12496,0.983646,0.842333,1.1305,1.18592,1.03629,0.886667,1.24133,1.30783,1.27458,1.03629,0.798,0.886667,1.10833,1.10833,1.35217,1.34108,1.35771,1.43252,1.51426,1.46646,1.1544,0.842333,0.886667,0.9975,1.31892,1.25796,1.24965,1.24133,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,1.13779,4,3,1
1.50733,1.463,1.463,1.463,1.55167,1.463,1.57383,1.47408,1.51287,1.48794,1.56414,1.4914,1.56587,1.49227,1.4333,1.38165,1.33366,1.30966,1.31983,1.28058,1.37179,1.32873,1.4402,1.40727,1.50163,1.48232,1.53916,1.50108,1.43771,1.38385,1.37909,1.35455,1.36444,1.36939,1.39403,1.40635,1.47901,1.471,1.467,1.5315,1.47508,1.49121,1.43277,1.40355,1.36678,1.34839,1.36136,1.39001,1.38217,1.35609,1.40954,1.39194,1.4053,1.43415,1.38208,1.35604,1.32085,1.32543,1.32771,1.30669,1.38484,1.37959,1.44346,1.43106,1.4692,1.4661,1.46455,1.48594,1.40797,1.39115,1.38274,1.35637,1.38752,1.40309,1.43305,1.38152,1.40009,1.40938,1.39186,1.40526,1.3233,1.30448,1.25074,1.22387,1.25477,1.24805,1.31119,1.3206,1.36963,1.34982,1.40641,1.41254,1.39344,1.37433,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,1.40667,2,3,0
