1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,stress_score,anxiety_score,depression_score
1.33,1.08617,0.842333,1.30783,1.34108,1.37987,1.39927,1.56414,1.6244,1.36637,1.43685,1.44993,1.14613,0.842333,1.15267,1.04183,1.09725,1.16929,0.983646,0.798,1.04183,1.18592,1.08062,1.05015,1.36741,1.43737,1.47235,1.48984,1.40992,1.12613,0.842333,0.842333,0.842333,0.842333,0.8645,0.886667,1.04183,1.14158,0.991958,0.842333,0.975333,0.9975,1.07508,1.00304,1.07785,1.09309,1.30021,1.11561,1.17847,1.29857,1.07045,0.842333,1.08617,1.00858,1.12496,1.22748,1.01274,0.798,0.886667,1.04183,1.14158,1.03629,1.02798,1.22332,1.25449,1.04841,0.842333,0.842333,0.842333,0.908833,1.03075,0.958708,0.886667,1.55167,1.30783,1.49625,1.34662,1.09448,0.842333,1.21917,1.03075,0.842333,1.04183,1.47408,1.29121,1.53227,1.43114,1.77957,1.37745,1.44239,1.27536,1.05885,0.842333,0.975333,1.30783,1.27458,1.30229,1.22748,1.10141,0.97187,0.842333,0.842333,0.953167,1.18592,1.14712,1.12773,1.2067,1.11318,1.01967,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,1.13114,6,2,0
1.197,1.28567,1.55167,1.44083,1.20808,1.18037,1.29952,1.18176,1.18938,1.43702,1.38351,1.33459,1.06629,0.798,1.50733,1.33,1.10833,0.886667,1.08617,1.16375,1.02521,0.886667,1.24133,1.37433,1.35217,1.23025,1.14712,1.1499,0.996115,0.842333,1.1305,1.40758,1.32446,1.17206,1.11803,1.04668,1.16617,1.11509,0.956544,0.798,0.886667,1.37433,1.28567,1.04183,0.798,0.975333,1.17483,0.986417,0.798,1.01967,0.908833,0.798,1.1305,1.29675,1.51287,1.39927,1.5863,1.45815,1.83741,1.47287,1.8891,1.49872,1.79119,1.44976,1.47855,1.53727,1.74397,1.60349,1.51108,1.15454,0.798,1.1305,0.96425,0.798,1.2635,1.34108,1.26904,1.03352,0.798,1.10833,0.953167,0.798,1.10833,1.08617,1.11942,1.26904,1.07785,0.886667,0.931,0.886667,0.842333,1.1305,1.25242,1.29121,1.42144,1.66389,1.36394,1.21397,1.02815,0.842333,1.04183,1.25242,1.26904,1.28567,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,1.19265,0,0,1
0.798,0.842333,1.10833,1.1305,1.31892,1.23579,1.37156,1.32861,1.41797,1.28532,1.44066,1.36316,1.43525,1.42696,1.46715,1.33207,1.50837,1.33052,1.06426,0.798,1.33,1.197,1.55167,1.30783,1.23025,1.01412,0.798,0.953167,0.875583,0.798,0.9975,0.919917,0.842333,0.975333,0.931,0.886667,1.04183,0.919917,0.798,1.01967,0.908833,0.798,0.9975,0.96425,1.05846,1.17206,0.985031,0.798,0.9975,0.96425,1.03629,1.11665,1.02382,1.04391,1.14262,1.01464,0.886667,0.9975,0.942083,0.886667,1.08617,1.29675,1.57937,1.32169,1.17068,1.02867,0.886667,0.842333,0.798,0.953167,1.45192,1.30229,1.05015,0.798,0.886667,1.37433,1.24133,1.21917,1.00858,0.798,0.798,0.798,0.931,1.3965,1.23025,1.23579,1.3494,1.56136,1.35702,1.25484,1.02642,0.798,1.33,1.24133,1.55167,1.30783,1.29675,1.40204,1.32169,1.43668,1.62717,1.36775,1.65921,1.38377,1.24605,1.06636,0.886667,1.41867,1.2635,1.10833,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,1.1352,4,4,0
1.41867,1.55167,1.37433,1.48517,1.29675,1.37987,1.3106,1.29814,1.33623,1.28878,1.17639,1.29753,1.18076,1.34405,1.31486,1.43326,1.24863,1.31148,1.27641,1.32537,1.26119,1.40643,1.36821,1.37127,1.35064,1.29598,1.35733,1.49883,1.39225,1.36112,1.3234,1.21586,1.2951,1.24605,1.26586,1.2536,1.31396,1.32198,1.45899,1.50533,1.3955,1.40708,1.30204,1.33819,1.33409,1.28771,1.44186,1.58543,1.43555,1.64877,1.46722,1.33211,1.13156,1.05344,1.08089,1.00594,1.07931,1.24899,1.06783,0.886667,0.908833,0.89775,0.886667,0.908833,0.853417,0.798,1.064,0.9975,1.07508,1.13604,0.967021,0.798,1.2635,1.34108,1.06954,0.798,1.10833,1.61817,1.47408,1.44637,1.12219,0.798,1.35217,1.34108,1.37987,1.5766,1.47547,1.20323,1.22228,1.29831,1.20332,1.20016,1.33158,1.06479,0.798,1.50733,1.37433,1.08617,0.798,1.17483,1.55167,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,1.25062,4,2,5
1.01967,1.10833,1.17483,1.25242,1.35771,1.25519,1.42559,1.3113,1.07682,0.842333,0.9975,0.89775,0.798,0.886667,1.2635,1.23025,1.50179,1.32723,1.57245,1.31822,1.39061,1.38247,1.35624,1.32095,1.36981,1.32774,1.06287,0.798,0.842333,0.820167,0.798,0.953167,1.36325,1.21362,1.24965,1.35632,1.56483,1.35875,1.14487,1.03794,1.13964,1.38998,1.31566,1.52233,1.38183,1.71058,1.45379,1.28106,1.1282,1.20693,1.26847,1.03323,0.798,1.2635,1.23025,1.45746,1.26073,1.42836,1.33485,1.50976,1.33121,1.66311,1.40789,1.10294,0.798,0.953167,1.18592,1.21362,1.27181,1.25657,1.02729,0.798,0.798,0.798,0.798,0.886667,1.33,1.1305,1.27458,1.30229,1.49348,1.27874,1.3487,1.31718,1.30143,1.38221,1.35611,1.34305,1.31436,1.27785,1.34826,1.29479,1.0464,0.798,0.842333,1.04183,1.18592,1.16929,1.29398,1.35632,1.27666,1.43633,1.33883,1.31225,1.28567,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,1.21154,10,11,8
1.15267,0.886667,1.01967,1.24133,1.24133,1.37433,1.2635,1.40758,1.32446,1.63756,1.37295,1.70614,1.45157,1.61245,1.40473,1.58903,1.39301,1.64967,1.42334,1.70917,1.43092,1.71296,1.41065,1.52549,1.33908,1.57837,1.36552,1.32559,1.28346,1.24023,1.77278,1.48489,1.71778,1.41306,1.54886,1.37293,1.5953,1.37398,1.83966,1.51833,1.4685,1.17758,0.886667,1.5295,1.38542,1.09171,0.798,0.9975,1.42975,1.31337,1.69852,1.42559,1.79896,1.52015,1.20341,0.886667,1.04183,1.54058,1.39096,1.13881,0.886667,1.08617,0.942083,0.798,1.01967,1.30783,1.05292,0.798,1.1305,1.00858,0.886667,1.44083,1.31892,1.56829,1.38265,1.64449,1.42074,1.75221,1.45244,1.74588,1.47144,1.64455,1.42078,1.10939,0.798,1.01967,1.55167,1.37433,1.15267,1.15267,1.17483,1.60708,1.42421,1.24133,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,1.34277,10,4,3
1.15267,1.17483,1.11942,1.22471,1.21085,1.24826,1.22263,1.14332,1.14799,1.106,1.12933,1.11883,1.15792,1.13312,1.1429,1.14778,1.19456,1.15145,1.15206,1.13019,1.11926,1.13597,1.16648,1.11524,1.13395,1.14331,1.14799,1.15033,1.1515,1.10775,1.13021,1.11927,1.13597,1.12215,1.18174,1.14504,1.21535,1.18401,1.257,1.227,1.18983,1.28208,1.26171,1.18502,1.16884,1.13859,1.18996,1.19348,1.21741,1.18504,1.16885,1.20509,1.22321,1.21011,1.13705,1.18919,1.1266,1.13963,1.12398,1.13832,1.1455,1.10475,1.17304,1.09635,1.12451,1.13859,1.18996,1.17131,1.20632,1.1795,1.14391,1.19262,1.17265,1.16266,1.15766,1.15516,1.17608,1.18654,1.32477,1.15005,1.19569,1.15201,1.21884,1.20792,1.26896,1.18865,1.14849,1.12841,1.09621,1.12444,1.11638,1.11236,1.13251,1.09826,1.14763,1.10581,1.15141,1.15204,1.17452,1.16359,1.15813,1.11106,1.08753,1.1201,1.11422,1.11127,1.13197,1.12015,1.15858,1.15562,1.24281,1.19774,1.15267,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,1.16168,0,2,0
1.197,1.2635,1.40758,1.41312,1.37156,1.43945,1.45122,1.19111,1.06106,1.12903,1.18518,1.03592,0.886667,1.44083,1.29675,1.31337,1.10002,0.886667,1.1305,1.14158,1.14712,1.2829,1.17345,1.14089,1.14678,1.01672,0.886667,0.842333,0.798,0.798,1.10833,1.21917,1.31892,1.12496,1.13881,1.36741,1.2157,1.18418,1.25709,1.27138,1.21202,1.00501,0.798,0.9975,1.25242,1.22471,1.38819,1.33693,1.3778,1.44257,1.29762,1.40247,1.23324,1.19295,1.06198,1.10732,1.12999,0.963997,0.798,0.798,1.10833,1.17483,0.986417,0.798,0.886667,1.24133,1.15267,1.2635,1.29675,1.31337,1.25519,1.29259,1.3113,1.23198,1.32532,1.15033,1.12933,1.274,1.34633,1.1165,0.886667,1.01967,1.197,1.17483,1.20808,1.31337,1.27735,1.25934,1.44984,1.14609,0.842333,1.1305,1.00858,0.886667,1.21917,1.27458,1.08062,0.886667,1.064,1.197,1.064,1.10833,1.2635,1.03075,0.798,1.28567,1.28567,1.2635,1.24133,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,1.15889,4,1,3
1.064,1.1305,1.11942,1.13604,1.01135,0.886667,0.886667,1.17483,1.09725,1.21362,1.20531,1.04599,0.886667,1.01967,0.908833,0.798,0.953167,1.18592,1.47962,1.24965,1.02382,0.798,0.798,1.10833,0.975333,0.842333,0.886667,1.064,1.17483,1.03075,0.886667,0.798,1.01967,0.9975,0.89775,0.798,1.01967,1.064,1.21917,1.00858,0.798,1.01967,0.908833,0.798,1.33,1.21917,1.31892,1.14712,1.10556,1.23995,1.37364,1.35182,1.49608,1.41304,1.12769,0.842333,1.064,1.1305,0.986417,0.842333,1.01967,1.24133,1.17483,1.25242,1.06954,0.886667,0.842333,0.886667,0.953167,1.11942,1.09171,0.944854,0.798,0.8645,0.83125,0.798,1.08617,1.00858,1.05846,1.12773,1.02936,1.11318,1.33242,1.30905,1.29736,1.35801,1.12234,0.886667,0.842333,1.064,0.953167,0.842333,1.01967,0.908833,0.798,0.842333,0.886667,0.953167,1.07508,1.00304,0.967021,0.88251,0.798,0.842333,1.04183,1.40758,1.39096,1.51565,1.42282,1.57591,1.38646,1.46906,1.46603,1.46452,1.463,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,1.07099,4,3,1
1.41867,1.44083,1.42975,1.49071,1.43252,1.53643,1.45538,1.50352,1.4611,1.43988,1.47361,1.44614,1.4324,1.42553,1.4221,1.39822,1.34194,1.33597,1.31082,1.40908,1.36954,1.48277,1.47288,1.66744,1.49872,1.72469,1.48301,1.78334,1.49017,1.72042,1.45871,1.61602,1.49518,1.45692,1.54863,1.46148,1.52874,1.49587,1.47944,1.55988,1.48928,1.58697,1.48065,1.73783,1.46741,1.57604,1.54169,1.74618,1.47159,1.46729,1.55381,1.50841,1.50787,1.4411,1.42988,1.46861,1.44364,1.56415,1.46924,1.68779,1.48673,1.69653,1.4911,1.47705,1.44786,1.38893,1.35946,1.3669,1.37062,1.43897,1.40665,1.45699,1.46,1.528,1.4955,1.61225,1.51546,1.46706,1.4872,1.4751,1.49122,1.49927,1.48114,1.4499,1.43428,1.42648,1.37824,1.33,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,1.48815,2,3,0
