1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,stress_score,anxiety_score,depression_score
0.798,0.886667,1.21917,1.00858,0.798,1.33,1.2635,1.69575,1.42421,1.5101,1.15405,0.798,1.3965,1.27458,1.34662,1.11665,0.886667,1.197,0.9975,0.798,1.2635,1.31892,1.10279,0.886667,1.064,1.15267,0.9975,0.842333,0.9975,0.89775,0.798,1.064,0.931,0.798,0.886667,1.24133,1.41867,1.3965,1.38542,1.51287,1.33277,1.06539,0.798,1.35217,1.27458,1.56829,1.38265,1.77749,1.50941,1.48621,1.1421,0.798,1.30783,1.25242,1.35771,1.12219,0.886667,1.44083,1.29675,1.06954,0.842333,0.9975,1.60708,1.40204,1.14435,0.886667,1.01967,1.1305,0.986417,0.842333,0.8645,0.886667,1.01967,1.3965,1.27458,1.72346,1.43806,1.2067,1.09102,1.12184,0.982087,0.842333,0.9975,1.60708,1.40204,1.14435,0.886667,1.01967,1.5295,1.34108,1.42421,1.13327,0.842333,0.842333,0.842333,1.01967,1.44083,1.31892,1.39096,1.13881,0.886667,1.3965,1.29675,1.197,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,1.16232,6,2,0
1.41867,0.886667,1.28567,1.08617,0.886667,1.28567,1.35217,1.58492,1.54612,1.43806,1.29536,1.20185,1.26592,1.29796,1.22531,1.10032,0.949162,0.798,0.886667,0.842333,0.798,0.886667,1.41867,1.30783,1.36325,1.08062,0.798,1.15267,1.44083,1.82875,1.44637,1.47685,1.58076,1.61055,1.49244,1.16739,0.842333,1.064,1.197,1.08617,1.11942,1.24687,1.13327,1.14297,1.32515,1.57141,1.49504,1.67852,1.72593,1.61663,1.27381,1.08024,0.886667,0.886667,0.886667,0.798,1.1305,1.34108,1.42421,1.42144,1.48655,1.40828,1.14747,0.886667,1.064,1.197,0.9975,0.798,0.975333,0.931,0.886667,0.842333,0.798,0.798,1.064,1.064,1.064,1.24133,1.15267,1.1305,1.23025,1.19146,1.17206,1.2732,1.52327,1.3823,1.09015,0.798,1.01967,0.953167,0.886667,1.17483,1.03075,0.886667,1.15267,1.01967,0.886667,1.15267,1.463,1.3965,1.16375,1.11387,1.26627,1.07647,0.886667,1.33,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,1.17275,0,0,1
1.15267,1.28567,1.55167,1.3965,1.65142,1.40204,1.67635,1.39234,1.51634,1.35667,1.67583,1.41425,1.39429,1.09615,0.798,1.1305,1.27458,1.54612,1.3494,1.0737,0.798,0.931,1.48517,1.31892,1.67912,1.39373,1.51703,1.40135,1.65384,1.40325,1.72129,1.43698,1.76032,1.4565,1.74791,1.45029,1.70048,1.42657,1.73295,1.42064,1.41965,1.10883,0.798,1.44083,1.29675,1.57937,1.38819,1.33693,1.06746,0.798,1.08617,0.96425,0.842333,1.2635,1.25242,1.40204,1.36602,1.56968,1.42767,1.71134,1.432,1.80217,1.49958,1.61429,1.47215,1.75574,1.47637,1.44752,1.12276,0.798,1.463,1.30783,1.56275,1.42421,1.4436,1.40897,1.43598,1.38299,1.60033,1.39866,1.69683,1.46908,1.75421,1.4756,1.5358,1.45507,1.43687,1.38343,1.60055,1.39878,1.197,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,1.39496,4,4,0
1.50733,1.50733,1.44083,1.42975,1.40204,1.34385,1.33693,1.28913,1.3539,1.34195,1.40247,1.41057,1.41462,1.39448,1.40657,1.36829,1.43781,1.40607,1.43454,1.40443,1.38938,1.33753,1.33376,1.28755,1.33094,1.28614,1.3524,1.25253,1.29127,1.22197,1.25382,1.20324,1.26662,1.20964,1.20332,1.20016,1.24291,1.24212,1.3304,1.28586,1.35227,1.31897,1.36882,1.34941,1.4062,1.32377,1.28255,1.26194,1.29597,1.24649,1.22174,1.1872,1.23644,1.19455,1.24011,1.19639,1.26319,1.25226,1.29113,1.26623,1.27595,1.25864,1.24999,1.24566,1.28783,1.28675,1.37487,1.33027,1.46314,1.35223,1.36328,1.30231,1.31615,1.25658,1.22679,1.23406,1.21553,1.1841,1.21272,1.18269,1.25635,1.22667,1.27834,1.30417,1.36142,1.30138,1.29352,1.24526,1.22113,1.20907,1.24737,1.13352,1.16526,1.1368,1.1669,1.13762,1.18947,1.17107,1.22837,1.19052,1.26026,1.33,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,1.292,4,2,5
1.33,1.33,1.24133,1.21917,1.11942,1.09171,1.03352,1.09309,1.07855,1.00477,1.05655,1.03811,1.07322,1.13511,1.05522,1.08178,1.11722,1.24578,1.19922,1.15378,1.19756,1.15294,1.24147,1.0419,0.842333,0.9975,1.07508,1.04737,1.03352,1.00443,1.10071,1.08236,1.05101,1.27917,1.14942,1.17321,1.34027,1.33514,1.19957,1.17612,1.16439,1.22503,1.18885,1.21509,1.22821,1.36777,1.32672,1.32836,1.19618,1.21876,1.29654,1.31327,1.2773,1.37015,1.23924,1.37329,1.21864,1.29649,1.24674,1.39921,1.34244,1.38055,1.26661,1.4313,1.33632,1.53266,1.43133,1.13683,0.842333,1.01967,1.28567,1.3965,1.47408,1.46854,1.53227,1.5198,1.66873,1.49937,1.74718,1.44993,1.38996,1.47081,1.44474,1.45387,1.56927,1.38313,1.6004,1.44303,1.40868,1.59101,1.43834,1.51717,1.46792,1.46546,1.4864,1.51903,1.15852,0.798,1.064,1.463,1.37433,1.37433,1.37433,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,1.26919,10,11,8
1.64033,1.57383,1.38542,1.11387,0.842333,0.798,1.5295,1.38542,1.75671,1.49902,1.68051,1.43876,1.51738,1.37936,1.50984,1.37559,1.66313,1.43006,1.51303,1.33285,1.37576,1.24205,1.39686,1.27476,1.36888,1.26077,1.31755,1.25728,1.67047,1.41157,1.50378,1.19523,0.886667,0.842333,0.798,0.798,0.842333,1.50733,1.33,1.41867,1.35217,1.38542,1.35771,1.47685,1.38126,1.79896,1.47582,1.18124,0.886667,1.01967,0.931,0.842333,1.01967,1.28567,1.2635,1.38542,1.31337,1.38819,1.31476,1.47755,1.31511,1.58855,1.41494,1.68281,1.4399,1.11895,0.798,0.975333,1.24133,1.24133,1.3965,1.31892,1.54612,1.39373,1.65003,1.44568,1.12184,0.798,0.975333,1.24133,1.2635,1.56275,1.35771,1.78719,1.44776,1.65488,1.44811,1.74372,1.44819,1.67726,1.4593,1.48332,1.36232,1.34616,1.27158,1.197,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,1.33141,10,4,3
1.197,1.17483,1.14158,1.16929,1.11665,1.13466,1.12149,1.15925,1.13379,1.18756,1.12578,1.13922,1.14595,1.14931,1.12882,1.14074,1.12454,1.16077,1.11238,1.13253,1.1426,1.21413,1.13907,1.10153,1.1271,1.11772,1.06869,1.08851,1.07626,1.11446,1.08923,1.09878,1.12572,1.1392,1.1016,1.0828,1.0734,1.0687,1.06635,1.08734,1.07567,1.092,1.078,1.09317,1.07858,1.13779,1.12306,1.1822,1.16743,1.20438,1.17852,1.1656,1.20346,1.13373,1.1432,1.08143,1.11705,1.11269,1.08835,1.09834,1.10334,1.128,1.096,1.1465,1.12742,1.14004,1.16852,1.18276,1.12338,1.09369,1.10101,1.10467,1.08434,1.09633,1.08017,1.11642,1.11238,1.17685,1.09826,1.1033,1.12798,1.09599,1.08,1.09416,1.07908,1.09371,1.07885,1.09359,1.12313,1.09357,1.14528,1.14897,1.17299,1.18499,1.16883,1.20508,1.15671,1.15469,1.10934,1.13101,1.11967,1.13617,1.12225,1.13746,1.14506,1.17103,1.20618,1.22376,1.21038,1.20369,1.20034,1.19867,1.19784,1.17525,1.14179,1.19156,1.24133,1.13263,1.13263,1.13263,1.13263,1.13263,1.13263,1.13263,1.13263,1.13263,1.13263,1.13263,1.13263,1.13263,1.13263,1.13263,1.13263,0,2,0
1.41867,1.30783,1.78442,1.55721,1.1776,0.798,1.01967,1.28567,1.24133,1.30783,1.27458,1.30229,1.24965,1.31199,1.25449,1.46958,1.37762,1.30948,1.36407,1.25837,1.27202,1.21234,1.27117,1.41142,1.41504,1.37252,1.37343,1.41821,1.35194,1.1193,0.886667,1.064,1.41867,1.28567,1.41867,1.28567,1.35217,1.25242,1.29121,1.2441,1.37572,1.26419,1.4301,1.46871,1.64319,1.6196,1.2088,0.798,0.886667,1.1305,1.31892,1.45746,1.3494,1.6722,1.32377,1.65938,1.42819,1.35693,1.1218,0.886667,1.28567,1.24133,1.35217,1.27458,1.50179,1.37156,1.35078,1.11872,0.886667,1.44083,1.38542,1.49071,1.36602,1.37018,1.30576,1.45088,1.30177,1.09422,0.886667,1.064,1.48517,1.40758,1.45746,1.37156,1.46161,1.21847,1.4294,1.3132,1.7871,1.46988,1.51078,1.15439,0.798,0.798,0.798,0.9975,1.25242,1.29121,1.33,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,1.29352,4,1,3
1.24133,1.21917,1.09725,1.12496,1.13881,1.14574,1.12704,1.16202,1.04651,1.18825,1.48079,1.51623,1.42312,1.11056,0.798,1.064,1.28567,1.30783,1.36325,1.36879,1.3494,1.3397,1.55652,1.26592,1.1428,1.1699,1.22778,1.41189,1.32661,1.41697,1.43999,1.42933,1.11366,0.798,1.10833,0.975333,0.842333,0.886667,1.15267,1.24133,1.21917,1.03075,0.842333,0.9975,0.942083,0.886667,0.842333,0.798,1.01967,1.1305,1.36325,1.30229,1.42698,1.35632,1.45399,1.126,0.798,0.9975,1.11942,1.37987,1.46577,1.48655,1.31961,1.14747,1.1279,1.27328,1.07998,0.886667,0.931,0.886667,0.842333,1.08617,1.25242,1.20254,1.42144,1.37572,1.48586,1.18626,0.886667,0.798,1.08617,1.29675,1.35771,1.43252,1.42559,1.33346,1.3539,1.29762,1.04781,0.798,0.798,0.798,0.798,0.886667,1.10833,0.953167,0.798,0.820167,0.842333,0.798,1.197,1.08617,1.11942,1.33554,1.08894,0.842333,0.953167,1.07508,1.04737,1.01967,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,1.13977,4,3,1
1.15267,1.30783,1.36325,1.45746,1.50456,1.70545,1.49556,1.67878,1.50439,1.48369,1.60635,1.49034,1.54317,1.48092,1.53846,1.54506,1.54836,1.50568,1.50651,1.59559,1.48496,1.49615,1.45741,1.41587,1.41727,1.4623,1.44048,1.47391,1.42412,1.51006,1.4422,1.4526,1.54647,1.57123,1.49495,1.50114,1.48207,1.47254,1.48993,1.49863,1.45865,1.41649,1.35108,1.34054,1.3131,1.25505,1.24819,1.24476,1.19871,1.22002,1.18635,1.25817,1.24975,1.24554,1.17694,1.18697,1.16982,1.29424,1.26779,1.40973,1.3477,1.42752,1.44526,1.45413,1.4364,1.40537,1.45635,1.37101,1.417,1.35134,1.36283,1.32425,1.37146,1.5059,1.30711,1.29639,1.29103,1.31051,1.25376,1.26971,1.32202,1.37034,1.28367,1.35117,1.38492,1.35746,1.32156,1.28145,1.28356,1.32895,1.26297,1.31865,1.25783,1.27175,1.28567,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,1.39081,2,3,0
