unique_id,emotion,video_path,status,reason,frame_count,fps,detected_frames,detection_rate,raw_length,output_length,signal_std,dominant_bpm
1120307023_20251120152526,calm,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307023_20251120152526/calm.mp4,ok,ok,730,23.9997,730,1,730,900,0.000812434,89.999
1120307023_20251120152526,sadness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307023_20251120152526/sadness.mp4,ok,ok,724,23.9997,724,1,724,900,0.000994634,67.4993
1120307023_20251120152526,happiness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307023_20251120152526/happiness.mp4,ok,ok,723,24,723,1,723,900,0.00128335,61.875
1120307023_20251120152526,fearness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307023_20251120152526/fearness.mp4,ok,ok,723,24,723,1,723,900,0.00154967,84.375
1120307023_20251120152526,tension,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307023_20251120152526/tension.mp4,ok,ok,721,24,721,1,721,900,0.0014266,50.625
1120307024_20251120153625,calm,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307024_20251120153625/calm.mp4,ok,ok,731,23.9997,731,1,731,900,0.00911976,50.6244
1120307024_20251120153625,sadness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307024_20251120153625/sadness.mp4,ok,ok,723,23.9997,723,1,723,900,0.0108733,44.9995
1120307024_20251120153625,happiness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307024_20251120153625/happiness.mp4,ok,ok,723,24,723,1,723,900,0.0150584,56.25
1120307024_20251120153625,fearness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307024_20251120153625/fearness.mp4,ok,ok,723,24,723,1,723,900,0.00865559,67.5
1120307024_20251120153625,tension,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307024_20251120153625/tension.mp4,ok,ok,720,24,720,1,720,900,0.00739406,45
1120307025_20251120154846,calm,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307025_20251120154846/calm.mp4,ok,ok,731,23.9997,731,1,731,900,0.00114921,84.3741
1120307025_20251120154846,sadness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307025_20251120154846/sadness.mp4,ok,ok,723,23.9997,723,1,723,900,0.00290154,61.8743
1120307025_20251120154846,happiness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307025_20251120154846/happiness.mp4,ok,ok,723,24,723,1,723,900,0.00409604,84.375
1120307025_20251120154846,fearness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307025_20251120154846/fearness.mp4,ok,ok,723,24,723,1,723,900,0.0035095,61.875
1120307025_20251120154846,tension,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307025_20251120154846/tension.mp4,ok,ok,719,24,719,1,719,900,0.00272694,84.375
1120307026_20251120155826,calm,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307026_20251120155826/calm.mp4,ok,ok,731,23.9997,731,1,731,900,0.000933041,67.4993
1120307026_20251120155826,sadness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307026_20251120155826/sadness.mp4,ok,ok,723,23.9997,723,1,723,900,0.00122234,56.2494
1120307026_20251120155826,happiness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307026_20251120155826/happiness.mp4,ok,ok,722,24,722,1,722,900,0.00114496,56.25
1120307026_20251120155826,fearness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307026_20251120155826/fearness.mp4,ok,ok,722,24,722,1,722,900,0.0012707,78.75
1120307026_20251120155826,tension,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307026_20251120155826/tension.mp4,ok,ok,721,24,721,1,721,900,0.00151424,78.75
1120307027_20251120161005,calm,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307027_20251120161005/calm.mp4,ok,ok,732,23.9997,732,1,732,900,0.000970625,56.2494
1120307027_20251120161005,sadness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307027_20251120161005/sadness.mp4,ok,ok,723,23.9997,723,1,723,900,0.00102171,95.6239
1120307027_20251120161005,happiness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307027_20251120161005/happiness.mp4,ok,ok,723,24,723,1,723,900,0.00117346,56.25
1120307027_20251120161005,fearness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307027_20251120161005/fearness.mp4,ok,ok,723,24,723,1,723,900,0.000864854,73.125
1120307027_20251120161005,tension,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307027_20251120161005/tension.mp4,ok,ok,719,24,719,1,719,900,0.000961317,84.375
1120307028_20251120161934,calm,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307028_20251120161934/calm.mp4,ok,ok,732,23.9997,732,1,732,900,0.00077015,56.2494
1120307028_20251120161934,sadness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307028_20251120161934/sadness.mp4,ok,ok,723,23.9997,723,1,723,900,0.00106896,118.124
1120307028_20251120161934,happiness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307028_20251120161934/happiness.mp4,ok,ok,723,24,723,1,723,900,0.00101093,61.875
1120307028_20251120161934,fearness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307028_20251120161934/fearness.mp4,ok,ok,723,24,723,1,723,900,0.00103533,56.25
1120307028_20251120161934,tension,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120307028_20251120161934/tension.mp4,ok,ok,721,24,721,1,721,900,0.00104001,61.875
1120309017_20251120141310,calm,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309017_20251120141310/calm.mp4,ok,ok,732,23.9997,732,1,732,900,0.000763505,56.2494
1120309017_20251120141310,sadness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309017_20251120141310/sadness.mp4,ok,ok,723,23.9997,723,1,723,900,0.000718808,84.3741
1120309017_20251120141310,happiness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309017_20251120141310/happiness.mp4,ok,ok,722,24,722,1,722,900,0.000852195,95.625
1120309017_20251120141310,fearness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309017_20251120141310/fearness.mp4,ok,ok,722,24,722,1,722,900,0.000918939,61.875
1120309017_20251120141310,tension,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309017_20251120141310/tension.mp4,ok,ok,720,24,720,1,720,900,0.000900279,61.875
1120309018_20251120143016,calm,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309018_20251120143016/calm.mp4,ok,ok,729,23.9997,729,1,729,900,0.000976995,78.7491
1120309018_20251120143016,sadness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309018_20251120143016/sadness.mp4,ok,ok,723,23.9997,723,1,723,900,0.00105057,61.8743
1120309018_20251120143016,happiness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309018_20251120143016/happiness.mp4,ok,ok,722,24,722,1,722,900,0.000915271,90
1120309018_20251120143016,fearness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309018_20251120143016/fearness.mp4,ok,ok,722,24,722,1,722,900,0.000915667,101.25
1120309018_20251120143016,tension,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309018_20251120143016/tension.mp4,ok,ok,720,24,720,1,720,900,0.00148415,61.875
1120309019_20251120144036,calm,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309019_20251120144036/calm.mp4,ok,ok,732,23.9997,732,1,732,900,0.00184402,56.2494
1120309019_20251120144036,sadness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309019_20251120144036/sadness.mp4,ok,ok,723,23.9997,723,1,723,900,0.0012504,56.2494
1120309019_20251120144036,happiness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309019_20251120144036/happiness.mp4,ok,ok,723,24,723,1,723,900,0.00168308,56.25
1120309019_20251120144036,fearness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309019_20251120144036/fearness.mp4,ok,ok,723,24,723,1,723,900,0.00200339,84.375
1120309019_20251120144036,tension,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309019_20251120144036/tension.mp4,ok,ok,720,24,720,1,720,900,0.0016206,73.125
1120309020_20251120145039,calm,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309020_20251120145039/calm.mp4,ok,ok,733,23.9997,733,1,733,900,0.0520776,89.999
1120309020_20251120145039,sadness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309020_20251120145039/sadness.mp4,ok,ok,723,23.9997,723,1,723,900,0.0536404,67.4993
1120309020_20251120145039,happiness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309020_20251120145039/happiness.mp4,ok,ok,723,24,723,1,723,900,0.0491158,73.125
1120309020_20251120145039,fearness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309020_20251120145039/fearness.mp4,ok,ok,723,24,723,1,723,900,0.0241943,61.875
1120309020_20251120145039,tension,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309020_20251120145039/tension.mp4,ok,ok,719,24,719,1,719,900,0.0278489,61.875
1120309021_20251120150051,calm,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309021_20251120150051/calm.mp4,ok,ok,732,23.9997,732,1,732,900,0.00105681,56.2494
1120309021_20251120150051,sadness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309021_20251120150051/sadness.mp4,ok,ok,723,23.9997,723,1,723,900,0.00118684,61.8743
1120309021_20251120150051,happiness,/Users/geziwang/Desktop/teenager_ppg/cleaned_video_outputs/emotion_clips/1120309021_20251120150051/happiness.mp4,ok,ok,723,24,723,1,723,900,0.00132206,73.125
